Unnamed: 0,brand,title,image_link,num_colors,colors,dimensions,capacity,laptop,carry on,weight,price,tags,desc
10,Tomtoc,Navigator-T66 Travel Laptop Backpack 28L/40L,https://cdn.shopify.com/s/files/1/0256/7979/0179/files/1_bbb8231d-e5bc-4b5f-966d-a220f8d0fba7.jpg?v=1709199718,3,"['Black / 40L', 'Gray / 40L', 'Black / 28L']",,,"00""",0,0,78.99,"['14 HP Dell Acer Chromebook', '14 ThinkPad X1 Yoga (1-4th Gen)', '14.2-inch MacBook Pro', ""16'' and Above"", 'Holiday', 'laptop backpacks', 'Macbook Pro 15 ( Late 2012 to Early 2016)', 'Macbook Pro 15 ( Late 2016 to Current) New', 'travel essential', 'Up to 14', ""Up to 17.3''""]","tomtoc designed this large carry-on travel backpack luggage to meets all of the requirements of short business trip or family travel, it features lots of multi-functional compartments to hold necessary things including laptop, tablet, cellphone, power bank, books, wallets, clothes, umbrella, camera etc. A great choice for traveling, commuting, business trip, hiking, camping and other outdoor activities.

Premium &amp; Environmental. Made of premium quality YKK zippers and durable recycled fabric - that is 100% post-Consumer material made from PET plastic bottles.

Smart Capacity &amp; Organization.
TSA Friendly &amp; Flight Approved. The laptop compartment is friendly designed to be opened 90°-180° for security scanning.





Large Capacity &amp; Organized

Features 3 spacious compartments - the quick-access main compartment, tech storage and front pocket to organize your clothes, toiletries, books, and a 17” laptop, tablet and accessories for up to 3-5 days trip.



Convenient Storage
You can reach the main compartment from the quick access front pocket for easy reach of your travel essentials on the go, and the main compartment can also be unzipped like a suitcase for easy packing and unpacking.

TSA Friendly &amp; Flight Approved
The laptop compartment is friendly designed to be opened 90°-180° for security scanning, helps get through airport security checkpoints quick and easy.


Ultra-comfortable &amp; Easy Carry
3D padded back panel and contoured thick shoulder straps for superior ergonomic comfort.














 



























"
11,Tomtoc,Navigator-G43 PS5 Backpack,https://cdn.shopify.com/s/files/1/0256/7979/0179/products/A0523D1-1.jpg?v=1658377196,1,['Default Title'],,,"5""",0,0,75.99,"['laptop backpack', 'laptop backpacks', 'PS5 Game Controller', 'PS5&VR&Xbox', 'travel essential']","
Begin Your Game Journey with tomtoc Backpack. As Sony’s PlayStation 5 is a smash hit for console gamers, you might want to take PS5 console every time you visit a friend or take a vacation. For those who want adequate protection and portability for your PS5 console, look no further than tomtoc PS5 backpack.

Features three storage spaces in total. The main compartment can storage PS5 console. The middle compartment can accommodate 2 PS5 Controllers with case and headphone. The front pocket was designed to hold PS5 game discs, charging Cable, HDMI Cable, Charging Station, etc.
Comprehensive Protection: It features 2 secure belts in the main compartment to keep PS5 console stay in place. The extra-thick protective cushion at the bottom and around the edge protect PS5 console from bumps, collisions and scratches. The water-resistant, wear-resistant external material is robust and durable, which can protect game console from dust and light rain.
A Practical Backpack for Travel: Thanks to its spacious storage space and comfortable straps, this backpack could also be used as a travel backpack for carrying travel essentials, such as clothes, laptop, camera, power bank, cable, passport, etc.

Great backpack for PS console and accessories on the go




line




line

















line

























"
12,Tomtoc,Navigator-T71 Laptop Backpack 18L/30L,https://cdn.shopify.com/s/files/1/0256/7979/0179/files/1_413fb3e3-5d04-4480-bc09-44a1ca1c9fa0.jpg?v=1696726242,2,"['Medium / 18L', 'Large / 22L']",,18 L,"15.6""",0,0,97.99,"['Holiday', 'laptop backpack', 'laptop backpacks', 'Macbook Pro 15"" Sleeves | Bags | Briefcases', 'Premium collection', 'travel essential', 'Up to 15.6']"," 
Travel is an important aspect of work. Whether commuting to and from or venturing further for meetings, you need a backpack that supports the plethora of devices required to accomplish your tasks. Tap into this one-of-a-kind backpack built with high-end materials, including water-resistant nylon fabric for a lavish and professional presentation. Ideal for making a lasting first impression; offering built-in charging ports to keep you operating at peak performance. Protect your valuable electronics from harm with segmented pouches designed with the demands of travel in mind. Commute in style, and confidently command the attention of peers with the tomtoc Premium Backpack! An individual laptop compartment fits up to 15.6-inch computer.

Large Capacity &amp; Organized: a 18L/33L laptop backpack, different space meet all your requirements for daily business or short trips.
Leading brand suppliers. YKK Zipper &amp; Water-repellent Surface.
The laptop compartment features thick protective padding all around.
A cable pass-through pocket makes it super convenient to charge your mobile phone or other devices while on the move.
Comfortable Carrying Handles

Independent Laptop Compartment
The independent anti-shock laptop compartment with diving material top flap to completely secure your laptop device.

Large Capacity &amp; Organized
Features 4 large compartments for your accessories and daily necessities. An individual laptop compartment fits up to 15.6-inch computer, multiple pockets with different space meet all your requirements for daily business or short trips.

Pass-through Charging Pocket
A cable pass-through pocket makes it super convenient to charge your mobile phone or other devices while on the move.


tomtoc Minimalism Business Backpack
A simple business backpack at your first glance, but once you dig it, you will find a super powerful but stylish daily backpack, it has ample storage and partitions to conveniently organize your essentials, the compact and minimalist design making it perfect for daily business or short trip



































"
13,Timbuk2,Water-Resistant Alcatraz Backpack,https://cdn.shopify.com/s/files/1/2572/9458/files/timbuk2_water_resist_alcatraz_backpack_1212-3-1251_back_image2.png?v=1721261670,4,"['OS / Jet Black Rain Resist', 'OS / White Rain Resist', 'OS / Gunmetal Rain Resist', 'OS / Nautical Rain Resist']",,,,0,0,149.0,"['AFFILIATE OFFER', 'category-Pack', 'collection-waterResistant', 'collections-17in', 'collections-allLaptopBags', 'collections-allWomens', 'collections-bestsellers', 'collections-casual', 'collections-school', 'collections-startup', 'collections-workCommute', 'cybersale', 'filter_Backpack', 'final-sale', 'flag-EXCLUSIVE!', 'flag-Fits 17"" Laptop', 'flag-SEWN IN SAN FRANCISCO', 'gender-Mens', 'gender-Womens', 'madetype-Finished Good', 'site-Timbuk2', 'staffdiscount', 'subcategory-Laptop Pack', 'ugc-CLP Backpack']",A versatile laptop pack in weatherproof materials.
14,Timbuk2,Reflective Alcatraz Backpack,https://cdn.shopify.com/s/files/1/2572/9458/files/timbuk2_reflective_alcatraz_jet_black_1211-3-1095_back_image2.png?v=1721258104,2,"['OS / Jet Black Reflective', 'OS / Flame Reflective']",,,,0,0,164.0,"['AFFILIATE OFFER', 'category-Pack', 'collections-17in', 'collections-allLaptopBags', 'collections-allWomens', 'collections-bestsellers', 'collections-casual', 'collections-reflective', 'collections-school', 'collections-startup', 'collections-workCommute', 'cybersale', 'filter_Backpack', 'final-sale', 'flag-EXCLUSIVE!', 'flag-Fits 17"" Laptop', 'flag-SEWN IN SAN FRANCISCO', 'gender-Mens', 'gender-Womens', 'madetype-Finished Good', 'site-Timbuk2', 'staffdiscount', 'subcategory-Laptop Pack', 'ugc-CLP Backpack']",A versatile laptop pack in tonal reflective material.
15,Timbuk2,Eco Ripstop Alcatraz Backpack,https://cdn.shopify.com/s/files/1/2572/9458/files/timbuk2_eco_cordura_alcatraz_backpack_eco_ripstop_rust_1214-3-1262_image1.png?v=1720824774,4,"['OS / Jet Black', 'OS / Granite', 'OS / Rust', 'OS / Jade']",,,"00""",0,0,149.0,"['AFFILIATE OFFER', 'badge-eco', 'category-Pack', 'collections-17in', 'collections-allLaptopBags', 'collections-allWomens', 'collections-bestsellers', 'collections-casual', 'collections-reflective', 'collections-school', 'collections-startup', 'collections-workCommute', 'cybersale', 'filter_Backpack', 'final-sale', 'flag-EXCLUSIVE!', 'flag-Fits 17"" Laptop', 'flag-SEWN IN SAN FRANCISCO', 'gender-Mens', 'gender-Womens', 'madetype-Finished Good', 'site-Timbuk2', 'staffdiscount', 'subcategory-Laptop Pack', 'ugc-CLP Backpack']",A versatile laptop pack built using 100% recycled ripstop polyester.
16,Timbuk2,Eco Cordura Alcatraz Backpack,https://cdn.shopify.com/s/files/1/2572/9458/files/timbuk2_eco_cordura_alcatraz_backpack_honey_1208-3-1214_image_1.png?v=1720484633,9,"['OS / Jet Black', 'OS / Nautical', 'OS / Pink', 'OS / Dark Teal', 'OS / Purple', 'OS / Honey', 'OS / Fire Red', 'OS / Gunmetal', 'OS / Army']",,,,0,0,149.0,"['AFFILIATE OFFER', 'badge-eco', 'category-Pack', 'collections-17in', 'collections-allLaptopBags', 'collections-allWomens', 'collections-bestsellers', 'collections-casual', 'collections-reflective', 'collections-school', 'collections-startup', 'collections-workCommute', 'cybersale', 'filter_Backpack', 'final-sale', 'flag-EXCLUSIVE!', 'flag-Fits 17"" Laptop', 'flag-SEWN IN SAN FRANCISCO', 'gender-Mens', 'gender-Womens', 'madetype-Finished Good', 'site-Timbuk2', 'staffdiscount', 'subcategory-Laptop Pack', 'ugc-CLP Backpack']",A versatile laptop pack built using recycled plastic bottles.
17,Timbuk2,Flight Convertible Tote Backpack,https://cdn.shopify.com/s/files/1/2572/9458/files/timbuk2-flight-convertible-tote-backpack-jet-black-1076-3-6114_front.png?v=1720570048,1,['OS / Jet Black'],,,,0,0,129.0,"['badge-eco', 'category-Pack', 'category-Shoulder Bag', 'collection-tote', 'collections-13in', 'collections-allLaptopBags', 'collections-allWomens', 'collections-work', 'collections-workCommute', 'cybersale', 'eco', 'filter_Backpack', 'filter_Tote Bag', 'flag-NEW!', 'gender-Mens', 'gender-Womens', 'madetype-Finished Good', 'site-Timbuk2', 'subcategory-Shoulder Bag', 'subcategory-Tote']","A multifunctional tote made with eco-friendly materials.
"
18,Timbuk2,Flight Backpack,https://cdn.shopify.com/s/files/1/2572/9458/files/timbuk2-flight-backpack-jet-black-1077-3-6114_front.png?v=1720570978,1,['OS / Jet Black'],,,,0,0,129.0,"['badge-eco', 'category-Pack', 'collections-13in', 'collections-allLaptopBags', 'collections-allWomens', 'collections-work', 'collections-workCommute', 'cybersale', 'eco', 'filter_Backpack', 'flag-NEW!', 'gender-Mens', 'gender-Womens', 'madetype-Finished Good', 'site-Timbuk2', 'subcategory-Any']","A compact backpack made with eco-friendly materials.
"
19,Timbuk2,Incognito Core Backpack,https://cdn.shopify.com/s/files/1/2572/9458/products/timbuk2-incognito-core-backpack-gray-heather-1177-3-1282-front_1.png?v=1667590760,2,"['OS / Urban Black', 'OS / Grey Heather']",,,,0,0,50.0,"['category-Pack', 'filter_Backpack', 'gender-Mens', 'gender-Womens', 'madetype-Finished Good', 'site-Corporate', 'subcategory-Day Pack']",An organized and highly functional everyday work pack.
20,Timbuk2,Incognito Tech Flap Laptop Backpack,https://cdn.shopify.com/s/files/1/2572/9458/products/timbuk2-incognito-tech-flap-laptop-backpack-gray-heather-1176-3-1282-front_1.png?v=1667590930,2,"['OS / Grey Heather', 'OS / Urban Black']",,,,0,0,60.0,"['category-Pack', 'filter_Backpack', 'gender-Mens', 'gender-Womens', 'madetype-Finished Good', 'site-Corporate', 'subcategory-Day Pack']","A top-loading, highly-organized work pack."
21,Timbuk2,Incognito Flap Backpack,https://cdn.shopify.com/s/files/1/2572/9458/products/timbuk2-incognito-flat-backpack-gray-heather-1175-3-1282-front_1.png?v=1667590816,2,"['OS / Urban Black', 'OS / Grey Heather']",,,,0,0,50.0,"['category-Pack', 'filter_Backpack', 'gender-Mens', 'gender-Womens', 'madetype-Finished Good', 'site-Corporate', 'subcategory-Day Pack']","A top-loading, seriously organized work pack."
22,Timbuk2,Parkside Laptop Backpack 2.0,https://cdn.shopify.com/s/files/1/2572/9458/products/timbuk2-parkside-laptop-backpack-2_22d56169-88ec-434e-916d-fc333bfa8f0b.png?v=1663708736,3,"['OS / Eco Black', 'OS / Eco Gunmetal', 'OS / Eco Nautical']",,,,0,0,99.0,"['badge-eco', 'category-Pack', 'collections-15in', 'collections-allLaptopBags', 'collections-allWomens', 'collections-bestsellers', 'collections-casual', 'collections-school', 'collections-startup', 'collections-work', 'collections-workCommute', 'cybersale', 'eco', 'filter_Backpack', 'flag-NEW!', 'gender-Mens', 'gender-Womens', 'madetype-Finished Good', 'site-Timbuk2', 'subcategory-Day Pack']","A highly-organized, refined work pack."
23,Timbuk2,Vapor Backpack,https://cdn.shopify.com/s/files/1/2572/9458/products/timbuk2-vapor-backpack-cocoa-1163-3-3623-front_1.png?v=1662757095,1,['OS / Cocoa'],,,,0,0,99.0,"['category-Pack', 'collections-allLaptopBags', 'collections-sale', 'cybersale', 'filter_Backpack', 'final-sale', 'gender-Mens', 'gender-Womens', 'madetype-Finished Good', 'site-sale', 'subcategory-Any']",A compact backpack made with eco-friendly materials.
24,Timbuk2,WMN Never Check Day Backpack,https://cdn.shopify.com/s/files/1/2572/9458/products/timbuk2-wmn-never-check-day-backpack-jet-black-3585-3-6114-front_1.png?v=1662509635,1,['OS / Jet Black'],,,,0,0,159.0,"['category-Pack', 'collections-travel', 'cybersale', 'filter_Backpack', 'gender-Womens', 'madetype-Finished Good', 'site-Timbuk2', 'subcategory-Travel Pack']",A contemporary carry-on with smart travel pocketing and a tailored fit.
